population_share,out_strength_lorenz,in_strength_lorenz
0.8240534521158129,0.39710351171509806,0.39284883763954725
0.8262806236080178,0.40138225517086157,0.3970543264598808
0.8285077951002227,0.4056923187207528,0.4012881453892224
0.8307349665924276,0.4100588929894043,0.40552786953917525
0.8329621380846325,0.4144622440750268,0.40977260191420345
0.8351893095768373,0.4189088004456274,0.41415464935584884
0.8374164810690423,0.42345410107480247,0.41865876294000154
0.8396436525612472,0.4280004481987694,0.4231910571339064
0.841870824053452,0.43257400418732467,0.4277870380108586
0.844097995545657,0.43722402904531343,0.43239610007270896
0.8463251670378619,0.441897674785747,0.4370164493283858
0.8485523385300667,0.4466068265994757,0.4416803776171807
0.8507795100222717,0.45146211393592445,0.44634744539035115
0.8530066815144766,0.4563298844602475,0.4512546837182528
0.8552338530066814,0.46122396685362294,0.4562284492150654
0.8574610244988864,0.46611939474030223,0.46121372615458833
0.8596881959910913,0.4710489832069728,0.4662776397027566
0.8619153674832962,0.4761170827343085,0.47141480788635487
0.8641425389755011,0.4812800395395632,0.47662388521207927
0.866369710467706,0.486471625452338,0.48189911595857465
0.8685968819599109,0.4918026941709418,0.48729349761208574
0.8708240534521158,0.49714086410420455,0.4927358685267663
0.8730512249443206,0.5024980204429768,0.4982365441512789
0.8752783964365256,0.5078876928699245,0.5037433492452866
0.8775055679287305,0.5132978466949415,0.5092761672098348
0.8797327394209353,0.5187447025873014,0.5148286443265443
0.8819599109131403,0.5242903027382358,0.5204340441798706
0.8841870824053452,0.5299129697556277,0.5260709136265806
0.88641425389755,0.5356368477693179,0.5317254987351242
0.888641425389755,0.5414487060951519,0.5374634296788764
0.8908685968819599,0.5472669181393651,0.543285827702257
0.8930957683741648,0.5531281859693005,0.5491626434548141
0.8953229398663697,0.5590558314688907,0.5551476219190726
0.8975501113585745,0.565042379675337,0.5612727559358119
0.8997772828507795,0.5712371055957347,0.5677698441014284
0.9020044543429844,0.5775541966571518,0.5742972058663807
0.9042316258351892,0.5840012025720152,0.5809310111015905
0.9064587973273942,0.590788244544604,0.5877079618744008
0.9086859688195991,0.597675899516467,0.5945497953243061
0.9109131403118039,0.6046154307301551,0.601402542219898
0.9131403118040089,0.6117117866633657,0.6082969994079082
0.9153674832962138,0.6189039716196593,0.6152871361197453
0.9175946547884186,0.6261510975525253,0.6223817728115122
0.9198218262806236,0.6334083146851699,0.6294876219474774
0.9220489977728284,0.6406818272367163,0.636650430299971
0.9242761692650334,0.6480688097235512,0.6440344228016863
0.9265033407572383,0.6555549102171006,0.6514711137911344
0.9287305122494431,0.6630852624904199,0.6591342214037637
0.9309576837416481,0.6708290249516501,0.6668615389468361
0.933184855233853,0.678610834973527,0.6746165138522647
0.9354120267260578,0.6864163406274768,0.6823915216579945
0.9376391982182628,0.6943899581947756,0.6902372426118029
0.9398663697104677,0.7023817399216759,0.6981920232728481
0.9420935412026725,0.710374941891508,0.7061587638743719
0.9443207126948775,0.7185018709458137,0.7143582000678278
0.9465478841870824,0.7267223117847348,0.7225875361124796
0.9487750556792872,0.7349538155685984,0.7309165881608699
0.9510022271714922,0.7433379580928171,0.7396039151762152
0.953229398663697,0.7518709271263634,0.7483267482648556
0.9554565701559019,0.7605632623667841,0.7570898714029825
0.9576837416481069,0.7693122578252208,0.7658908178528723
0.9599109131403117,0.778162090531816,0.7746965482789534
0.9621380846325167,0.7871342883794303,0.7837548576980119
0.9643652561247216,0.7962414093055662,0.792948987191128
0.9665924276169264,0.8057150276577361,0.8025425039465934
0.9688195991091314,0.8152432132383385,0.8122144330618203
0.9710467706013363,0.8248101938758676,0.821915963029731
0.9732739420935411,0.8344899717020333,0.8317127240237007
0.9755011135857461,0.8442633360624423,0.8421976300929445
0.977728285077951,0.8543060980821263,0.852814917753358
0.9799554565701558,0.8647119937945849,0.8636171359934185
0.9821826280623608,0.875178959953111,0.8747813666818334
0.9844097995545656,0.8867358504373564,0.8859751982229322
0.9866369710467705,0.8983592680905126,0.8976299359702161
0.9888641425389755,0.9111635056170234,0.9106596183747443
0.9910913140311803,0.9250984060165078,0.9248977780149833
0.9933184855233853,0.9393562995585362,0.9395175345061102
0.9955456570155902,0.9554217886046136,0.9551294428095455
0.997772828507795,0.9748812097599393,0.9747097341133307
1.0,1.0,1.0
