station_name,mean_rank,std_rank
Koivusaari (M),186.5,182.67366166655407
Laivalahden puistotie,186.625,152.39716478115113
Von Daehnin katu,187.0,137.97342739334508
Kriikunakuja,187.25,117.21312497611633
Juhana Herttuan tie,187.75,106.4029291576756
Rautatientori / itä,188.25,183.82849797206816
Matinkartanontie,188.5,98.94274438616844
Kylävoudintie,188.75,92.08465308254864
Munkkiniemen aukio,188.75,168.35948641720984
Kiasma,190.0,120.82218339361361
Keilaniemi (M),190.25,119.19556759096932
Mustikkamaa,190.5,141.51913887056642
Otto Brandtin tie,190.875,149.1801902622016
Ritarikatu,191.0,69.6419413859206
Tenholantie,191.5,51.881274720911264
Jätkäsaarenlaituri,191.875,180.45607729675754
Leppävaaranaukio,192.375,174.75
Herttoniemenranta,192.5,102.112682855755
Keilaranta,193.75,97.71514723930983
Liisanpuistikko,193.75,177.34406295860785
Laajasalon ostoskeskus,194.25,107.40383295457073
Pohjolanaukio,195.75,30.923292192132454
Tilkantori,196.0,130.66241489681212
Kalkkihiekantie,196.75,63.25806931398818
Länsisatamankuja,197.0,103.4311365112073
Luoteisväylä,197.5,95.56324258486279
Kanavaranta,197.5,198.3742254763288
Rautatientori / länsi,197.5,204.42521044789623
Pasilan asema,198.0,45.99275305233786
Kustaankartano,198.75,149.59584441643648
Pohjolankatu,199.75,175.4848046603086
Teerisuontie,200.25,78.24906815206599
Ajomiehentie,200.25,136.67327219809047
Porolahden koulu,200.375,146.54315348501729
Hietaniemenkatu,200.75,175.8965131358019
Haukilahdenaukio,201.0,109.53538241134689
Teurastamo,201.5,127.21242077721813
Nordenskiöldinaukio,201.5,155.1633547802659
Ramsinniementie,202.5,73.5141709695031
Olympiastadion,202.5,174.9485638694985
Puotilantie,202.75,76.17250159998686
Sumukuja,203.0,120.31070886112619
Thalianaukio,204.5,110.18318080965595
Muurarinkuja,205.0,113.34901852243803
Stenbäckinkatu,205.5,163.44723919356974
Merisotilaantori,206.5,174.05841931183144
Otsolahti,206.625,153.92713373541392
Itälahdenkatu,207.0,122.88476987270093
Louhentori,207.5,98.48688575981406
Orionintie,207.5,98.56469956328178
Tilkanvierto,208.125,193.63555759897682
Albertinkatu,208.5,107.5437895309007
Alakiventie,208.625,154.7919975321722
Matinlahdenranta,208.75,128.39360056742186
Prinsessantie,209.5,126.41334317758286
Vanha kirkkopuisto,209.875,163.75916004914046
Pihlajamäki,210.25,145.36477106461066
Sepänkatu,210.25,148.3832313077638
Rautatieläisenkatu,210.5,134.63654778699578
Kapteeninpuistikko,210.75,92.46035186319953
Sepetlahdentie,210.75,117.10500985582698
Mellstenintie,211.0,138.68910074936196
Fleminginkatu,212.75,171.63405839168402
Rajasaarentie,213.0,155.99786323322937
Piispanportti,213.25,63.18425436768246
Tupasaarentie,213.25,84.38552403503024
Torpanranta,213.25,158.40954306269975
Paciuksenkaari,213.25,188.04498575252322
Kuikkarinne,213.5,118.9971988465835
Hakalehto,214.125,145.84945149022673
Kulttuuriaukio,214.625,161.79275581228393
Pajamäki,215.5,82.31038816577164
Kasarmitori,216.25,63.78806053382299
