station_name,out_degree,in_degree,out_strength,in_strength,betweenness,closeness,pagerank,eigenvector
Ruomelantie,111,121,10560.0,8916.0,0.0,141.58215743681055,0.0013331805835968768,0.00014645296591928457
Painiitty,143,144,6022.0,5944.0,0.0,98.43271092388945,0.0013227714953540689,0.00012137730697072096
Kaivonkatsojanpuisto,53,51,1582.0,1589.0,0.009150899913437432,59.868437978327165,0.0013175909925168727,1.7028217977786416e-06
Näyttelijäntie,231,221,8144.0,8161.0,2.237136465324385e-05,104.33911462587018,0.0013031953990930343,0.0007448328991022358
Aulangontie,189,202,5563.0,5343.0,0.0,129.18638223362075,0.0013000514816199678,0.0006652831152305688
Tiistiläntie,79,86,8874.0,8423.0,0.0,136.0116034819816,0.001296166137220467,8.135452664943156e-05
Isosaarentie,128,140,6840.0,6889.0,0.0,128.2407599772423,0.001295840706583565,0.0005380960052713228
Säterinniitty,151,153,7148.0,7254.0,0.0,100.67234662324806,0.0012920639393281738,0.00015863036056785857
Friisilänaukio,107,111,7863.0,8196.0,0.0,127.78361336149082,0.001287136222698616,0.00012199260691759049
Kannelmäen asema,95,100,1641.0,1613.0,0.0022371364653243847,71.24917050147656,0.0012861307599300914,4.119883849205054e-05
Marjaniemi,108,112,3905.0,4166.0,0.0,115.7747639883237,0.0012819669415936553,0.00012782482097818055
Margareetankuja,149,145,7151.0,6938.0,0.0,133.8542361971427,0.00127763557628753,0.0007161691365439348
Mankkaanlaaksontie,144,171,7688.0,8092.0,0.004080806718154531,140.7935613079787,0.0012749367152535694,0.00015532530012440254
Hanasaari,200,206,12205.0,12207.0,1.1241891785549672e-05,134.02844548834153,0.00127051227518479,0.00628941895011416
Upseerinkatu,140,143,7411.0,7184.0,0.0,104.78323261764447,0.0012704505542825099,0.00016934398340079853
Metsänneidonpolku,189,172,7705.0,8707.0,0.0,117.50602206974219,0.0012660485414300081,0.00039214109269488517
Opastinsilta,271,253,25519.0,18250.0,0.0,137.6853071113134,0.001262465213713129,0.010391569827389101
Halkaisijantie,75,64,1609.0,1549.0,0.0,65.13116788053111,0.0012622177627769414,8.626165483413131e-06
Maunula,236,225,7591.0,7444.0,0.0031767337807606265,97.81886101095353,0.0012618306852480196,0.001113707179133089
Vallikatu,126,111,7786.0,6278.0,0.0,102.11922556747253,0.0012592198587182365,5.308385245237445e-05
Westendintie,145,154,8646.0,8785.0,0.0,123.46333527328004,0.0012583470400701936,0.0006512246152173582
Toppelundinportti,127,136,7796.0,8613.0,0.0,127.5161949695815,0.00125481709456805,0.0003839019687850415
Sumukuja,47,42,1392.0,1387.0,0.0,46.567673359147996,0.001250342169613529,7.185952660473447e-07
Pukinmäen liikuntapuisto,94,95,1165.0,1150.0,0.0004834013467786359,43.29876350446322,0.0012464144973917258,3.166909976772528e-05
Mankkaanaukio,160,166,6925.0,7960.0,0.0,131.77928938729076,0.0012393205363794941,0.00018227408899270406
Mamsellimyllynkatu,125,131,4141.0,3896.0,0.0,113.44429188937511,0.0012381196503371932,0.00011035224918313116
Tollinpolku,75,61,1306.0,1378.0,0.002203579418344519,49.66445717199763,0.0012365765716337458,1.9201895070707345e-05
Orionintie,96,99,7469.0,8170.0,0.0,146.96251794910543,0.0012308284111726148,0.00011209033939714836
Suurpellonaukio,112,110,7050.0,7754.0,0.0,141.18966676774346,0.0012269113997282518,9.454628928569136e-05
Tupasaarentie,187,191,8595.0,9060.0,0.0,131.62897023037033,0.0012259275143340622,0.0024371991506733615
Kylävoudintie,224,219,8576.0,8298.0,2.237136465324385e-05,121.34345715951457,0.001224314404134381,0.0015900786271466475
Lepolantie,232,249,5775.0,6331.0,0.0014093959731543626,84.78445269310228,0.0012217465264279998,0.0009939022689707414
A.I. Virtasen aukio,240,232,14994.0,14392.0,0.0,138.62365917462566,0.0012165792538682465,0.005707946330381409
Pohjolankatu,235,227,14622.0,13197.0,0.0,127.4511813750526,0.001216555894802994,0.0040340621215147
Sähkömies,210,190,7751.0,8018.0,0.007225950782997763,115.67407678413782,0.001215516213599526,0.0005919829848268903
Prinsessantie,116,114,5762.0,4968.0,0.0,124.37633420105321,0.0012139543416878913,0.00013934612677558142
Kalkkipellonmäki,166,176,7054.0,6306.0,0.0,98.7503050845073,0.0012124696552303236,0.00021833422337514774
Lokitie,56,66,1437.0,1386.0,0.0,53.28346584426757,0.0012105242168985878,6.727455525252958e-06
Reiherintie,107,121,5462.0,5855.0,0.0,124.76064165420803,0.0012100304015805945,0.0003575808195583029
Tekniikantie,207,199,9739.0,9108.0,0.0,116.14044916545146,0.0012006409741781709,0.0008638937509253265
Huhtakuja,56,55,848.0,819.0,0.0,36.1293796671226,0.0011971136175181157,8.592649755079054e-06
Ajomiehentie,119,124,2302.0,2329.0,0.017087675514035502,73.34993454355347,0.0011932986869326396,9.118651946048682e-05
Helluntairaitti,60,53,684.0,788.0,0.01992170022371365,53.32334745228946,0.0011824169060330805,4.678042183756501e-06
Radiokatu,258,234,19765.0,17381.0,0.0,140.7028685270064,0.0011731661767451975,0.010076750140173242
Huovitie,236,239,9411.0,9342.0,0.0,117.18424473947444,0.0011725697128856815,0.002100565496805614
Vesakkotie,238,235,8276.0,8501.0,0.00014614459321214573,102.37050163543175,0.001156305452602967,0.001937744393252109
Ruskeasuon varikko,255,256,12121.0,12045.0,0.0,119.4112978149642,0.0011481127432843995,0.004637465172107356
Avaruuskatu,92,84,7210.0,7343.0,0.0,138.59478138451524,0.0011439527705639054,7.787854672217665e-05
Piispankallio,116,121,7618.0,7486.0,0.0,150.46858151691484,0.0011407022469421845,0.00018572287127688013
Hernepellontie,201,209,7259.0,7553.0,0.0,136.69285643661064,0.0011386990016415818,0.0015956468324618272
Purjetie,59,53,1215.0,1206.0,0.0,50.87600184578801,0.0011373014534131537,3.4161985554932022e-06
Koivu-Mankkaa,124,135,7311.0,7350.0,0.0,140.77707488362853,0.0011356695183031423,0.00013787472052174507
Laajalahden keskus,231,226,7900.0,7725.0,0.00011185682326621924,108.44066419910786,0.0011350063253349307,0.0008844734338100043
Maarinranta,179,165,5730.0,7318.0,5.592841163310962e-05,124.14473860653841,0.0011312590029746948,0.00026832025324127317
Nuottaniementie,97,96,6097.0,6833.0,0.0,130.90080124610574,0.0011269890499769307,9.103872068543999e-05
Haapasaarentie,46,45,1127.0,1129.0,0.0,40.654307244379545,0.0011262992644885308,1.380779618520125e-06
Relanderinaukio,203,204,12459.0,12068.0,0.0,140.63795478300008,0.0011256251551261488,0.004861464780278876
Kurkimäentie,79,82,1290.0,1277.0,0.05030201342281879,85.82880333943564,0.0011107245291235401,1.1073948770690937e-05
Humalniementie,133,140,5652.0,5537.0,0.0,127.30431739656444,0.0011068099929532477,0.0005170765389733061
Siltavoudintie,205,201,5672.0,5316.0,0.0,116.06680951276847,0.0011063973651191765,0.0006629203776848727
Halmetie,58,51,601.0,634.0,0.00017987026856879475,33.32752434742087,0.0010983012006228433,5.544182010795958e-06
Marttila,218,202,6168.0,6192.0,0.0,112.77869847038534,0.0010899863539571755,0.0008395106144889757
Meri-Rastilan tori,62,74,1386.0,1383.0,0.0,58.01596613650608,0.0010688254032723149,1.1012800070135176e-05
Mäkitorpantie,211,215,5773.0,5719.0,0.0,98.75973557038755,0.0010677135422723365,0.0009138871690276444
Siltamäki,62,68,505.0,584.0,0.0,24.083685870761176,0.001067421178573974,1.0601271511654868e-05
Kontulankaari,59,52,910.0,861.0,0.0,51.18916816446804,0.0010597426819167932,2.3107560489635565e-06
Itäportti,105,106,6909.0,6280.0,0.0,140.20918049424398,0.0010519645038923743,0.00010720507469802171
Lukutori,110,122,5686.0,6076.0,0.0,133.05338005446555,0.001046410617923075,7.548505845580769e-05
Mäkkylän asema,185,194,6032.0,5475.0,0.0,93.07169526978377,0.0010401704597174952,0.0003303241790271675
Toppelundintie,120,111,6216.0,6497.0,0.0,132.80718426300427,0.001036260024652914,0.0002598277332977526
Etuniementie,132,136,6446.0,6237.0,0.0,133.00302579125994,0.0010340435481441222,0.00018830457341039708
