station_name,latitude,longitude,community,pagerank
Vuosaaren liikuntapuisto,60.212297606275705,25.1534645734222,inf_5,0.0008176655755684256
Kannelmäen liikuntapuisto,60.2437463425961,24.8788004950615,inf_1,0.0009622145279609676
Luoteisväylä,60.1653590878524,24.8603118531172,inf_4,0.002255845367718233
Tapanilan asema,60.2633039538104,25.0281239739891,inf_9,0.001718021544674175
Kirjurinkuja,60.215751,24.826368,inf_8,0.004164632670688393
Pukinmäen asema,60.24308644816681,24.9939952300621,inf_9,0.001966629377167692
Käskynhaltijantie,60.2332319429452,24.957934116941,inf_9,0.0010328892476135772
Vallipolku,60.227827,24.819614,inf_8,0.0009439985328512227
Vihdintie,60.2089249922173,24.8895209008125,inf_1,0.002868848428698653
Halkaisijantie,60.20238693128051,25.1279098203443,inf_5,0.0012622177627769414
Töölöntulli,60.1909233737999,24.912893019047,inf_1,0.0035331811906003166
Marjaniementie,60.2043248841061,25.076069360708,inf_5,0.0029541712941136542
Vallikatu,60.22846299999999,24.813870999999995,inf_8,0.0012592198587182365
Albertinkatu,60.16185747905121,24.9368050446952,inf_7,0.003294708541813911
Porolahden koulu,60.1955233353498,25.0535809447117,inf_5,0.002153100720310082
Kaapelitehdas,60.161252848,24.90279681,inf_7,0.0008198201663713487
Pohjois-Haagan asema,60.2300717042706,24.8830806372706,inf_1,0.0021057737944737737
Roihupelto,60.2093671231044,25.0550878014734,inf_5,0.0026420481168055883
Vuosaaren puistopolku,60.221320897051,25.1410953624725,inf_5,0.0014146340589892138
Saniaiskuja,60.25909156602,25.0290905800296,inf_9,0.0008765059369201402
Von Daehnin katu,60.2303443513437,25.0436178847114,inf_9,0.0013658590702262405
Urheilupuisto (M),60.17465,24.779428,inf_3,0.006097798367011128
Pohjankulma,60.182880000000004,24.794014,inf_3,0.0024250338340085042
Postipuun koulu,60.223827,24.826396,inf_8,0.0009551299250179089
Tekniikantie,60.180806,24.824747,inf_3,0.0012006409741781713
Purjetie,60.2196483224979,25.1338286912921,inf_5,0.0011373014534131537
Töölöntori,60.17910051717169,24.9249700522851,inf_2,0.0031341871288962497
Siilitie 13,60.2150936967815,25.0438403800837,inf_5,0.0010069981997947854
Kaisaniemenpuisto,60.173234900127795,24.9433556359399,inf_0,0.004697549868913721
Tiistinkallio,60.15373700000001,24.729112,inf_3,0.001408546581924006
Kulosaari (M),60.1889293103178,25.006463687185402,inf_5,0.002755482995313964
Etupellonpuisto,60.2419862673955,24.95944937493,inf_9,0.0006896407631263292
Valimotie,60.2159693222985,24.8765290693421,inf_1,0.002147680743738396
Pohjolankatu,60.2134209918355,24.9437964005667,inf_9,0.001216555894802994
Toppelundinportti,60.1624471,24.7848628,inf_3,0.0012548170945680505
Itämerentori,60.1635308918594,24.9145164996449,inf_7,0.013632717517220398
Marian sairaala,60.1683228179992,24.9227415692015,inf_7,0.003983715143793594
