station_name,pagerank,betweenness,out_strength,in_strength,z_pagerank,z_betweenness,z_out_strength,z_in_strength,bridge_vs_popularity,pagerank_eps,betweenness_eps
Helluntairaitti,0.0011824169060330805,0.027340280822456802,684.0,788.0,-0.6267663278132269,0.32596363573345416,-0.7070659832966232,-0.699273595786512,0.952729963546681,0.0011824269060330805,0.027340290822456804
Juhana Herttuan tie,0.0025227808345338796,0.05771587242701202,29768.0,30101.0,0.1773411520859763,1.0204697187790426,-0.0006578464033339387,0.007374699723756302,0.8431285666930662,0.0025227908345338795,0.05771588242701202
Takomotie,0.0018853749142096025,0.038512304250559286,16401.0,16555.0,-0.20504967279847683,0.581400248516378,-0.32532287067278093,-0.3191786319373529,0.7864499213148548,0.0018853849142096025,0.03851231425055929
Derby Business Park,0.0004466954093771908,0.0,877.0,932.0,-1.0681383656636807,-0.2991432458234928,-0.702378293487092,-0.6958021887468545,0.7689951198401879,0.00044670540937719077,1e-08
Kuusisaari,0.00045576705686500065,0.0,1783.0,1802.0,-1.0626961275932219,-0.2991432458234928,-0.680372868785355,-0.6748291045489242,0.763552881769729,0.00045577705686500065,1e-08
Jollas,0.0004963185349706169,0.0,808.0,1075.0,-1.038368595217618,-0.2991432458234928,-0.7040542033153699,-0.6923548887005281,0.7392253493941252,0.0004963285349706169,1e-08
Hagalundinpuisto,0.0005051548739618549,0.0,2008.0,1687.0,-1.0330675227799802,-0.2991432458234928,-0.6749079454322745,-0.6776014087819839,0.7339242769564873,0.0005051648739618549,1e-08
Paloheinäntie,0.0008900561847982264,0.009488156667003924,1269.0,1387.0,-0.8021585759742321,-0.08220648265159175,-0.6928571825786142,-0.6848335067812703,0.7199520933226404,0.0008900661847982264,0.009488166667003924
Ooppera,0.006114478851165011,0.1463199105145414,140027.0,142038.0,2.3320628506492813,3.046308235285961,2.6773731935401806,2.7058392122108064,0.7142453846366799,0.006114488851165011,0.1463199205145414
Kalannintie,0.0005467627930202155,0.0,309.0,294.0,-1.0081062132233358,-0.2991432458234928,-0.7161741888850904,-0.7111824504920035,0.708962967399843,0.0005467727930202155,1e-08
Paloheinän maja,0.0008267910365160574,0.007181208053691276,887.0,893.0,-0.8401124315420441,-0.134952446123755,-0.7021354080047328,-0.6967423614867617,0.7051599854182891,0.0008268010365160575,0.007181218053691276
Tuohipolku,0.0005542627257639819,0.0,383.0,328.0,-1.003606873984366,-0.2991432458234928,-0.714376836315633,-0.710362812718751,0.7044636281608732,0.000554272725763982,1e-08
Paloheinän kirjasto,0.0005683023438050753,0.0,533.0,525.0,-0.9951842645409754,-0.2991432458234928,-0.710733554080246,-0.705613735032553,0.6960410187174826,0.0005683123438050753,1e-08
Lettopolku,0.0005698531951609309,0.0,314.0,299.0,-0.9942538820165441,-0.2991432458234928,-0.7160527461439109,-0.7110619155253487,0.6951106361930512,0.0005698631951609309,1e-08
Koivusaari (M),0.0005713417983619834,0.0,3073.0,3243.0,-0.9933608432357205,-0.2991432458234928,-0.6490406415610274,-0.6400909271590188,0.6942175974122278,0.0005713517983619834,1e-08
