experiment_id,rq,aggregation,graph_set,model,alpha,validation_wmape,validation_mae,validation_rmse,validation_mase
RQ1_DE_DC_STATION,RQ1,station,DE+DC,graph_propagation,0.7,0.7798702833529139,2.410776237840633,5.924579919787789,1.5905711020920594
RQ1_DE_DC_STATION,RQ1,station,DE+DC,graph_propagation,0.75,0.7944988072840673,2.455996704167786,5.787833524408116,1.6204064579554978
RQ1_DE_DC_STATION,RQ1,station,DE+DC,graph_propagation,0.8,0.8116085802951667,2.5088873387905952,5.8153433924730615,1.6553024029552308
RQ1_DE_DC_STATION,RQ1,station,DE+DC,graph_propagation,0.85,0.8312039912557935,2.569461708814672,5.9562475624166,1.6952678883351713
RQ1_DE_DC_STATION,RQ1,station,DE+DC,graph_propagation,0.9,0.8532493750508614,2.6376095643512785,6.1820528341631835,1.740230173919652
RQ1_DE_DC_STATION,RQ1,station,DE+DC,graph_propagation,0.95,0.8777568183042861,2.7133682682110685,6.478128876462138,1.7902139107758215
RQ1_DE_DC_STATION,RQ1,station,DE+DC,graph_propagation,1.0,0.9046125343800294,2.7963860771308355,6.837756096444125,1.8449870273156863
RQ1_DE_STATION,RQ1,station,DE,graph_propagation,0.0,220.0386524065157,680.1951118684342,252109.29860406005,448.77607126710325
RQ1_DE_STATION,RQ1,station,DE,graph_propagation,0.05,108.34943037773093,334.93548570050905,120666.00929550552,220.98222815468745
RQ1_DE_STATION,RQ1,station,DE,graph_propagation,0.1,53.865457246163864,166.51174835278098,57841.197933977004,109.86037232803794
RQ1_DE_STATION,RQ1,station,DE,graph_propagation,0.15,27.16685559447685,83.97961984451598,27776.241267030247,55.40769582539502
RQ1_DE_STATION,RQ1,station,DE,graph_propagation,0.2,14.011216678130088,43.31221352049762,13367.539879784856,28.576337410331906
RQ1_DE_STATION,RQ1,station,DE,graph_propagation,0.25,7.484480626869041,23.136422085811528,6450.137085136886,15.264844491937875
RQ1_DE_STATION,RQ1,station,DE,graph_propagation,0.3,4.21915106759378,13.042462771994296,3122.3192211874575,8.605097420334284
RQ1_DE_STATION,RQ1,station,DE,graph_propagation,0.35,2.5686837969624334,7.94045111402327,1517.416253211559,5.238915118415491
